::ffff:76.216.145.105 - - [07/Dec/2022:00:59:58 +0000] "GET /images/schools/manzanitakaratedomap.jpg HTTP/1.1" 200 55402 "http://www.wadokikai.org/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::ffff:74.208.2.203 - - [07/Dec/2022:01:00:26 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "IonCrawl (https://www.ionos.de/terms-gtc/faq-crawler-en/)"
::ffff:73.93.253.46 - - [07/Dec/2022:01:00:53 +0000] "GET /images/dragon-trans.png HTTP/1.1" 304 - "https://wadokikai.org/resources" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15"
::ffff:20.241.233.77 - - [07/Dec/2022:01:01:17 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "python-requests/2.27.1"
::ffff:20.241.233.77 - - [07/Dec/2022:01:01:37 +0000] "GET /contact?s=1&ss=2 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::ffff:74.208.2.223 - - [07/Dec/2022:01:04:04 +0000] "GET /sitemap.xml HTTP/1.1" 404 150 "-" "IonCrawl (https://www.ionos.de/terms-gtc/faq-crawler-en/)"
::ffff:74.208.2.223 - - [07/Dec/2022:01:04:06 +0000] "GET / HTTP/1.1" 200 57378 "-" "IonCrawl (https://www.ionos.de/terms-gtc/faq-crawler-en/)"
::ffff:74.208.2.223 - - [07/Dec/2022:01:04:07 +0000] "GET /wp-admin/admin-ajax.php HTTP/1.1" 404 162 "-" "IonCrawl (https://www.ionos.de/terms-gtc/faq-crawler-en/)"
::ffff:74.208.2.193 - - [07/Dec/2022:01:05:55 +0000] "GET /contact?s=1&ss=3 HTTP/1.1" 200 9997 "-" "IonCrawl (https://www.ionos.de/terms-gtc/faq-crawler-en/)"
::ffff:74.208.2.213 - - [07/Dec/2022:01:05:56 +0000] "GET /contact?s=1&ss=11 HTTP/1.1" 200 9997 "-" "IonCrawl (https://www.ionos.de/terms-gtc/faq-crawler-en/)"
::ffff:74.208.2.183 - - [07/Dec/2022:01:05:57 +0000] "GET /contact?s=1&ss=5 HTTP/1.1" 200 9997 "-" "IonCrawl (https://www.ionos.de/terms-gtc/faq-crawler-en/)"
::ffff:74.208.2.223 - - [07/Dec/2022:01:06:03 +0000] "GET /contact?s=1&ss=4 HTTP/1.1" 200 9997 "-" "IonCrawl (https://www.ionos.de/terms-gtc/faq-crawler-en/)"
::ffff:74.208.2.193 - - [07/Dec/2022:01:06:06 +0000] "GET /contact HTTP/1.1" 200 10017 "-" "IonCrawl (https://www.ionos.de/terms-gtc/faq-crawler-en/)"
::ffff:74.208.2.193 - - [07/Dec/2022:01:06:07 +0000] "GET /contact?s=1&ss=0 HTTP/1.1" 200 9997 "-" "IonCrawl (https://www.ionos.de/terms-gtc/faq-crawler-en/)"
